name	has_participant_tsv	has_participant_json	participant_columns	has_phenotype_dir	has_mri	nb_subjects	raw	fmriprep	freesurfer	mriqc
ds000113	True	False	['participant_id', 'gender', 'age', 'handedness', 'hearing_problems_current', 'hearing_problems_past', 'absolute_pitch', 'german_speak', 'german_comprehend', 'german_read', 'german_write', 'english_speak', 'english_comprehend', 'english_read', 'english_write', 'french_read', 'french_comprehend', 'french_read.1', 'french_write', 'language4_speak', 'language4_comprehend', 'language4_read', 'language4_write', 'hörtraining', 'music_training_harmonics', 'music_training_composition', 'music_training_analytics', 'music_training_history', 'music_training_other', 'music_training_improv', 'melodic_stability', 'listen_preference1_genre', 'listen_preference1_duration', 'listen_preference2_genre', 'listen_preference2_duration', 'listen_preference3_genre', 'listen_preference3_duration', 'background_preference1_genre', 'background_preference1_duration', 'background_preference2_genre', 'background_preference2_duration', 'background_preference3_genre', 'background_preference3_duration', 'concert_preference1_genre', 'concert_preference1_duration', 'concert_preference2_genre', 'concert_preference2_duration', 'concert_preference3_genre', 'concert_preference3_duration', 'favorite_music_examples', 'musician', 'music_lover', 'musician_style1', 'musician_style2', 'musician_style3', 'musician_instruments', 'musician_improv', 'musician_improv_style', 'musician_conductor', 'musician_other_activities', 'musician_act1', 'musician_act1_duration', 'musician_act1_startage', 'musician_act1_endage', 'musician_act2', 'musician_act2_duration', 'musician_act2_startage', 'musician_act2_endage', 'musician_act3', 'musician_act3_duration', 'musician_act3_startage', 'musician_act3_endage', 'forrest_seen', 'forrest_seen_dist', 'forrest_seen_count', 'forrest_seen_languages', 'forrest_ad_known', 'forrest_ad_rating', 'forrest_ad_storydepth', 'forrest_ad_fatigue', 'forrest_ad_feeling', 'forrest_ad_artist_count', 'audioq1', 'audioq2', 'audioq3', 'audioq4', 'audioq5', 'audioq6', 'audioq7', 'audioq8', 'vision_problems_current', 'vision_problems_past']	False	True	37	https://github.com/OpenNeuroDatasets/ds000113	n/a	n/a	n/a
ds000114	True	False	['participant_id', 'dominant_hand']	False	True	10	https://github.com/OpenNeuroDatasets/ds000114	n/a	n/a	n/a
ds000115	True	False	['participant_id', 'condit', 'gender', 'race', 'age', 'yrschool', 'saps7', 'saps20', 'saps25', 'saps34', 'sans8', 'sans13', 'sans17', 'sans22', 'sans25', 'd4prime', 'LFLUNOVS', 'CFLUNOVA', 'TRAILB', 'WCSTPSVE', 'WAIS_VOCAB_SCALED', 'WAIS_MATRICS_SCALE', 'LOGIALMEMORY_SCALE', 'FAMILYPICT_SCALE', 'LNS_SCALE', 'SST_SCALE', 'DST_SCALE', 'z_iq_4grp', 'z_wm_4grp', 'z_em_4grp', 'z_ra_4grp', 'z_pos_4grp', 'z_neg_4grp', 'z_dis_4grp', 'fyrschool', 'myrschool', 'parent_yrsschool', 'nback0_nont', 'nback0_targ', 'nback1_nont', 'nback1_targ', 'nback2_nont', 'nback2_targ', 'nback0_nont_medrt', 'nback0_targ_medrt', 'nback1_nont_medrt', 'nback1_targ_medrt', 'nback2_nont_medrt', 'nback2_targ_medrt']	False	True	99	https://github.com/OpenNeuroDatasets/ds000115	n/a	n/a	n/a
ds000116	True	False	['participant_id', 'sex', 'age', 'handedness', 'ethnicity']	False	True	17	https://github.com/OpenNeuroDatasets/ds000116	n/a	n/a	n/a
ds000117	True	False	['participant_id', 'age', 'sex', 'first_ses']	False	True	17	https://github.com/OpenNeuroDatasets/ds000117	n/a	https://github.com/OpenNeuroDatasets/ds000117/tree/main/derivatives/freesurfer	n/a
ds000119	True	False	['participant_id', 'sex', 'age']	False	True	73	https://github.com/OpenNeuroDatasets/ds000119	n/a	n/a	https://github.com/OpenNeuroDatasets/ds000119/tree/main/derivatives/mriqc
ds000120	True	False	['participant_id', 'sex', 'age']	False	True	26	https://github.com/OpenNeuroDatasets/ds000120	n/a	n/a	https://github.com/OpenNeuroDatasets/ds000120/tree/main/derivatives/mriqc
ds000121	True	False	['participant_id', 'sex', 'age']	False	True	28	https://github.com/OpenNeuroDatasets/ds000121	n/a	n/a	https://github.com/OpenNeuroDatasets/ds000121/tree/main/derivatives/mriqc
ds000122	True	False	['participant_id', 'sex', 'age']	False	True	17	https://github.com/OpenNeuroDatasets/ds000122	n/a	n/a	https://github.com/OpenNeuroDatasets/ds000122/tree/main/derivatives/mriqc
ds000133	True	False	['participant_id', 'study_group', 'handedness', 'gender']	False	True	26	https://github.com/OpenNeuroDatasets/ds000133	n/a	n/a	https://github.com/OpenNeuroDatasets/ds000133/tree/main/derivatives/mriqc
